Date,Year,Month,Day,Day_of_the_week,Week,Slot_Start_Time,Slot_End_Time,Slot_Availability,Date_Readable
2024-11-25,2024,November,25,Monday,47,09:00,10:00,False,Monday 25 November 2024 09:00
2024-11-25,2024,November,25,Monday,47,10:00,11:00,True,Monday 25 November 2024 10:00
2024-11-25,2024,November,25,Monday,47,11:00,12:00,True,Monday 25 November 2024 11:00
2024-11-25,2024,November,25,Monday,47,12:00,13:00,False,Monday 25 November 2024 12:00
2024-11-25,2024,November,25,Monday,47,13:00,14:00,False,Monday 25 November 2024 13:00
2024-11-25,2024,November,25,Monday,47,14:00,15:00,True,Monday 25 November 2024 14:00
2024-11-25,2024,November,25,Monday,47,15:00,16:00,False,Monday 25 November 2024 15:00
2024-11-26,2024,November,26,Tuesday,47,09:00,10:00,False,Tuesday 26 November 2024 09:00
2024-11-26,2024,November,26,Tuesday,47,10:00,11:00,False,Tuesday 26 November 2024 10:00
2024-11-26,2024,November,26,Tuesday,47,11:00,12:00,False,Tuesday 26 November 2024 11:00
2024-11-26,2024,November,26,Tuesday,47,12:00,13:00,True,Tuesday 26 November 2024 12:00
2024-11-26,2024,November,26,Tuesday,47,13:00,14:00,False,Tuesday 26 November 2024 13:00
2024-11-26,2024,November,26,Tuesday,47,14:00,15:00,True,Tuesday 26 November 2024 14:00
2024-11-26,2024,November,26,Tuesday,47,15:00,16:00,False,Tuesday 26 November 2024 15:00
2024-11-27,2024,November,27,Wednesday,47,09:00,10:00,True,Wednesday 27 November 2024 09:00
2024-11-27,2024,November,27,Wednesday,47,10:00,11:00,False,Wednesday 27 November 2024 10:00
2024-11-27,2024,November,27,Wednesday,47,11:00,12:00,True,Wednesday 27 November 2024 11:00
2024-11-27,2024,November,27,Wednesday,47,12:00,13:00,False,Wednesday 27 November 2024 12:00
2024-11-27,2024,November,27,Wednesday,47,13:00,14:00,False,Wednesday 27 November 2024 13:00
2024-11-27,2024,November,27,Wednesday,47,14:00,15:00,True,Wednesday 27 November 2024 14:00
2024-11-27,2024,November,27,Wednesday,47,15:00,16:00,False,Wednesday 27 November 2024 15:00
2024-11-28,2024,November,28,Thursday,47,09:00,10:00,True,Thursday 28 November 2024 09:00
2024-11-28,2024,November,28,Thursday,47,10:00,11:00,False,Thursday 28 November 2024 10:00
2024-11-28,2024,November,28,Thursday,47,11:00,12:00,False,Thursday 28 November 2024 11:00
2024-11-28,2024,November,28,Thursday,47,12:00,13:00,True,Thursday 28 November 2024 12:00
2024-11-28,2024,November,28,Thursday,47,13:00,14:00,True,Thursday 28 November 2024 13:00
2024-11-28,2024,November,28,Thursday,47,14:00,15:00,False,Thursday 28 November 2024 14:00
2024-11-28,2024,November,28,Thursday,47,15:00,16:00,False,Thursday 28 November 2024 15:00
2024-11-29,2024,November,29,Friday,47,09:00,10:00,False,Friday 29 November 2024 09:00
2024-11-29,2024,November,29,Friday,47,10:00,11:00,True,Friday 29 November 2024 10:00
2024-11-29,2024,November,29,Friday,47,11:00,12:00,False,Friday 29 November 2024 11:00
2024-11-29,2024,November,29,Friday,47,12:00,13:00,False,Friday 29 November 2024 12:00
2024-11-29,2024,November,29,Friday,47,13:00,14:00,True,Friday 29 November 2024 13:00
2024-11-29,2024,November,29,Friday,47,14:00,15:00,False,Friday 29 November 2024 14:00
2024-11-29,2024,November,29,Friday,47,15:00,16:00,True,Friday 29 November 2024 15:00
2024-11-30,2024,November,30,Saturday,47,09:00,10:00,False,Saturday 30 November 2024 09:00
2024-11-30,2024,November,30,Saturday,47,10:00,11:00,False,Saturday 30 November 2024 10:00
2024-11-30,2024,November,30,Saturday,47,11:00,12:00,False,Saturday 30 November 2024 11:00
2024-11-30,2024,November,30,Saturday,47,12:00,13:00,False,Saturday 30 November 2024 12:00
2024-11-30,2024,November,30,Saturday,47,13:00,14:00,False,Saturday 30 November 2024 13:00
2024-11-30,2024,November,30,Saturday,47,14:00,15:00,False,Saturday 30 November 2024 14:00
2024-11-30,2024,November,30,Saturday,47,15:00,16:00,False,Saturday 30 November 2024 15:00
2024-12-01,2024,December,1,Sunday,48,09:00,10:00,False,Sunday 1 December 2024 09:00
2024-12-01,2024,December,1,Sunday,48,10:00,11:00,False,Sunday 1 December 2024 10:00
2024-12-01,2024,December,1,Sunday,48,11:00,12:00,False,Sunday 1 December 2024 11:00
2024-12-01,2024,December,1,Sunday,48,12:00,13:00,False,Sunday 1 December 2024 12:00
2024-12-01,2024,December,1,Sunday,48,13:00,14:00,False,Sunday 1 December 2024 13:00
2024-12-01,2024,December,1,Sunday,48,14:00,15:00,False,Sunday 1 December 2024 14:00
2024-12-01,2024,December,1,Sunday,48,15:00,16:00,False,Sunday 1 December 2024 15:00
2024-12-02,2024,December,2,Monday,48,09:00,10:00,True,Monday 2 December 2024 09:00
2024-12-02,2024,December,2,Monday,48,10:00,11:00,False,Monday 2 December 2024 10:00
2024-12-02,2024,December,2,Monday,48,11:00,12:00,True,Monday 2 December 2024 11:00
2024-12-02,2024,December,2,Monday,48,12:00,13:00,False,Monday 2 December 2024 12:00
2024-12-02,2024,December,2,Monday,48,13:00,14:00,False,Monday 2 December 2024 13:00
2024-12-02,2024,December,2,Monday,48,14:00,15:00,False,Monday 2 December 2024 14:00
2024-12-02,2024,December,2,Monday,48,15:00,16:00,False,Monday 2 December 2024 15:00
2024-12-03,2024,December,3,Tuesday,48,09:00,10:00,False,Tuesday 3 December 2024 09:00
2024-12-03,2024,December,3,Tuesday,48,10:00,11:00,False,Tuesday 3 December 2024 10:00
2024-12-03,2024,December,3,Tuesday,48,11:00,12:00,True,Tuesday 3 December 2024 11:00
2024-12-03,2024,December,3,Tuesday,48,12:00,13:00,False,Tuesday 3 December 2024 12:00
2024-12-03,2024,December,3,Tuesday,48,13:00,14:00,True,Tuesday 3 December 2024 13:00
2024-12-03,2024,December,3,Tuesday,48,14:00,15:00,False,Tuesday 3 December 2024 14:00
2024-12-03,2024,December,3,Tuesday,48,15:00,16:00,False,Tuesday 3 December 2024 15:00
2024-12-04,2024,December,4,Wednesday,48,09:00,10:00,True,Wednesday 4 December 2024 09:00
2024-12-04,2024,December,4,Wednesday,48,10:00,11:00,True,Wednesday 4 December 2024 10:00
2024-12-04,2024,December,4,Wednesday,48,11:00,12:00,True,Wednesday 4 December 2024 11:00
2024-12-04,2024,December,4,Wednesday,48,12:00,13:00,False,Wednesday 4 December 2024 12:00
2024-12-04,2024,December,4,Wednesday,48,13:00,14:00,True,Wednesday 4 December 2024 13:00
2024-12-04,2024,December,4,Wednesday,48,14:00,15:00,True,Wednesday 4 December 2024 14:00
2024-12-04,2024,December,4,Wednesday,48,15:00,16:00,False,Wednesday 4 December 2024 15:00
2024-12-05,2024,December,5,Thursday,48,09:00,10:00,True,Thursday 5 December 2024 09:00
2024-12-05,2024,December,5,Thursday,48,10:00,11:00,True,Thursday 5 December 2024 10:00
2024-12-05,2024,December,5,Thursday,48,11:00,12:00,True,Thursday 5 December 2024 11:00
